value,var,ver,pft,param,time
0.24482101,RDI,No recruitement,deciduous temperate broadleaved,Low RDI,12
0.26289698,RDI,No recruitement,deciduous temperate broadleaved,high RDI,12
0.47846743,RDI,Recruitement,deciduous temperate broadleaved,Low RDI,12
15.596213,BA,No recruitement,evergreen temperate conifer,Low RDI,12
15.595713,BA,No recruitement,evergreen temperate conifer,high RDI,12
15.595713,BA,Recruitement,evergreen temperate conifer,Low RDI,12
5.0314503,BA,No recruitement,deciduous temperate broadleaved,Low RDI,12
5.1516385,BA,No recruitement,deciduous temperate broadleaved,high RDI,12
7.046209,BA,Recruitement,deciduous temperate broadleaved,Low RDI,12
0.036496848,DIAMETER,No recruitement,evergreen temperate conifer,Low RDI,12
0.03656891,DIAMETER,No recruitement,evergreen temperate conifer,high RDI,12
0.03656891,DIAMETER,Recruitement,evergreen temperate conifer,Low RDI,12
0.09264623,DIAMETER,No recruitement,deciduous temperate broadleaved,Low RDI,12
0.08435088,DIAMETER,No recruitement,deciduous temperate broadleaved,high RDI,12
0.04800327,DIAMETER,Recruitement,deciduous temperate broadleaved,Low RDI,12
1.4905562,IND,No recruitement,evergreen temperate conifer,Low RDI,12
1.484639,IND,No recruitement,evergreen temperate conifer,high RDI,12
1.484639,IND,Recruitement,evergreen temperate conifer,Low RDI,12
0.07457766,IND,No recruitement,deciduous temperate broadleaved,Low RDI,12
0.09212059,IND,No recruitement,deciduous temperate broadleaved,high RDI,12
0.38895938,IND,Recruitement,deciduous temperate broadleaved,Low RDI,12
0.49107936,RDI,No recruitement,evergreen temperate conifer,Low RDI,13
0.49080992,RDI,No recruitement,evergreen temperate conifer,high RDI,13
0.49080992,RDI,Recruitement,evergreen temperate conifer,Low RDI,13
0.26723644,RDI,No recruitement,deciduous temperate broadleaved,Low RDI,13
0.2847866,RDI,No recruitement,deciduous temperate broadleaved,high RDI,13
0.39642826,RDI,Recruitement,deciduous temperate broadleaved,Low RDI,13
16.526012,BA,No recruitement,evergreen temperate conifer,Low RDI,13
16.525614,BA,No recruitement,evergreen temperate conifer,high RDI,13
16.525614,BA,Recruitement,evergreen temperate conifer,Low RDI,13
5.6472445,BA,No recruitement,deciduous temperate broadleaved,Low RDI,13
5.7433534,BA,No recruitement,deciduous temperate broadleaved,high RDI,13
6.065131,BA,Recruitement,deciduous temperate broadleaved,Low RDI,13
0.037580244,DIAMETER,No recruitement,evergreen temperate conifer,Low RDI,13
0.037660565,DIAMETER,No recruitement,evergreen temperate conifer,high RDI,13
0.037660565,DIAMETER,Recruitement,evergreen temperate conifer,Low RDI,13
0.0979158,DIAMETER,No recruitement,deciduous temperate broadleaved,Low RDI,13
0.089122824,DIAMETER,No recruitement,deciduous temperate broadleaved,high RDI,13
0.051777113,DIAMETER,Recruitement,deciduous temperate broadleaved,Low RDI,13
1.4896729,IND,No recruitement,evergreen temperate conifer,Low RDI,13
1.483289,IND,No recruitement,evergreen temperate conifer,high RDI,13
1.483289,IND,Recruitement,evergreen temperate conifer,Low RDI,13
0.074964054,IND,No recruitement,deciduous temperate broadleaved,Low RDI,13
0.09193596,IND,No recruitement,deciduous temperate broadleaved,high RDI,13
0.28776583,IND,Recruitement,deciduous temperate broadleaved,Low RDI,13
0.5161174,RDI,No recruitement,evergreen temperate conifer,Low RDI,14
0.5158181,RDI,No recruitement,evergreen temperate conifer,high RDI,14
0.5158181,RDI,Recruitement,evergreen temperate conifer,Low RDI,14
0.22357725,RDI,No recruitement,deciduous temperate broadleaved,Low RDI,14
0.20311925,RDI,No recruitement,deciduous temperate broadleaved,high RDI,14
0.43953842,RDI,Recruitement,deciduous temperate broadleaved,Low RDI,14
17.491377,BA,No recruitement,evergreen temperate conifer,Low RDI,14
17.491098,BA,No recruitement,evergreen temperate conifer,high RDI,14
17.491098,BA,Recruitement,evergreen temperate conifer,Low RDI,14
4.9445386,BA,No recruitement,deciduous temperate broadleaved,Low RDI,14
4.2979383,BA,No recruitement,deciduous temperate broadleaved,high RDI,14
6.9659705,BA,Recruitement,deciduous temperate broadleaved,Low RDI,14
0.03867402,DIAMETER,No recruitement,evergreen temperate conifer,Low RDI,14
0.038762912,DIAMETER,No recruitement,evergreen temperate conifer,high RDI,14
0.038762912,DIAMETER,Recruitement,evergreen temperate conifer,Low RDI,14
0.10741013,DIAMETER,No recruitement,deciduous temperate broadleaved,Low RDI,14
0.09803327,DIAMETER,No recruitement,deciduous temperate broadleaved,high RDI,14
0.055525474,DIAMETER,Recruitement,deciduous temperate broadleaved,Low RDI,14
1.4887812,IND,No recruitement,evergreen temperate conifer,Low RDI,14
1.4819366,IND,No recruitement,evergreen temperate conifer,high RDI,14
