value,var,ver,pft,param,time
0.3943819,RDI,No recruitement,evergreen temperate conifer,Low RDI,12
0.3940502,RDI,No recruitement,evergreen temperate conifer,high RDI,12
0.39405024,RDI,Recruitement,evergreen temperate conifer,Low RDI,12
0.6585759,RDI,No recruitement,deciduous temperate broadleaved,Low RDI,12
0.6438607,RDI,No recruitement,deciduous temperate broadleaved,high RDI,12
0.61907256,RDI,Recruitement,deciduous temperate broadleaved,Low RDI,12
12.8671055,BA,No recruitement,evergreen temperate conifer,Low RDI,12
12.864743,BA,No recruitement,evergreen temperate conifer,high RDI,12
12.864744,BA,Recruitement,evergreen temperate conifer,Low RDI,12
8.78691,BA,No recruitement,deciduous temperate broadleaved,Low RDI,12
8.544491,BA,No recruitement,deciduous temperate broadleaved,high RDI,12
7.6931257,BA,Recruitement,deciduous temperate broadleaved,Low RDI,12
0.033127073,DIAMETER,No recruitement,evergreen temperate conifer,Low RDI,12
0.033215873,DIAMETER,No recruitement,evergreen temperate conifer,high RDI,12
0.033215877,DIAMETER,Recruitement,evergreen temperate conifer,Low RDI,12
0.039572116,DIAMETER,No recruitement,deciduous temperate broadleaved,Low RDI,12
0.039156515,DIAMETER,No recruitement,deciduous temperate broadleaved,high RDI,12
0.03438928,DIAMETER,Recruitement,deciduous temperate broadleaved,Low RDI,12
1.4926322,IND,No recruitement,evergreen temperate conifer,Low RDI,12
1.4843884,IND,No recruitement,evergreen temperate conifer,high RDI,12
1.4843884,IND,Recruitement,evergreen temperate conifer,Low RDI,12
0.71424603,IND,No recruitement,deciduous temperate broadleaved,Low RDI,12
0.7093863,IND,No recruitement,deciduous temperate broadleaved,high RDI,12
0.827824,IND,Recruitement,deciduous temperate broadleaved,Low RDI,12
0.41479135,RDI,No recruitement,evergreen temperate conifer,Low RDI,13
0.41441998,RDI,No recruitement,evergreen temperate conifer,high RDI,13
0.41442,RDI,Recruitement,evergreen temperate conifer,Low RDI,13
0.69159245,RDI,No recruitement,deciduous temperate broadleaved,Low RDI,13
0.67980796,RDI,No recruitement,deciduous temperate broadleaved,high RDI,13
0.66882664,RDI,Recruitement,deciduous temperate broadleaved,Low RDI,13
13.629801,BA,No recruitement,evergreen temperate conifer,Low RDI,13
13.627339,BA,No recruitement,evergreen temperate conifer,high RDI,13
13.62734,BA,Recruitement,evergreen temperate conifer,Low RDI,13
9.393686,BA,No recruitement,deciduous temperate broadleaved,Low RDI,13
9.192558,BA,No recruitement,deciduous temperate broadleaved,high RDI,13
8.53503,BA,Recruitement,deciduous temperate broadleaved,Low RDI,13
0.034103185,DIAMETER,No recruitement,evergreen temperate conifer,Low RDI,13
0.03420257,DIAMETER,No recruitement,evergreen temperate conifer,high RDI,13
0.03420257,DIAMETER,Recruitement,evergreen temperate conifer,Low RDI,13
0.040926524,DIAMETER,No recruitement,deciduous temperate broadleaved,Low RDI,13
0.040634908,DIAMETER,No recruitement,deciduous temperate broadleaved,high RDI,13
0.036242425,DIAMETER,Recruitement,deciduous temperate broadleaved,Low RDI,13
1.4919103,IND,No recruitement,evergreen temperate conifer,Low RDI,13
1.4829838,IND,No recruitement,evergreen temperate conifer,high RDI,13
1.4829838,IND,Recruitement,evergreen temperate conifer,Low RDI,13
0.7133541,IND,No recruitement,deciduous temperate broadleaved,Low RDI,13
0.708698,IND,No recruitement,deciduous temperate broadleaved,high RDI,13
0.82700926,IND,Recruitement,deciduous temperate broadleaved,Low RDI,13
0.4353385,RDI,No recruitement,evergreen temperate conifer,Low RDI,14
0.43492547,RDI,No recruitement,evergreen temperate conifer,high RDI,14
0.4349255,RDI,Recruitement,evergreen temperate conifer,Low RDI,14
0.52827334,RDI,No recruitement,deciduous temperate broadleaved,Low RDI,14
0.7133794,RDI,No recruitement,deciduous temperate broadleaved,high RDI,14
0.71002555,RDI,Recruitement,deciduous temperate broadleaved,Low RDI,14
14.403038,BA,No recruitement,evergreen temperate conifer,Low RDI,14
14.40049,BA,No recruitement,evergreen temperate conifer,high RDI,14
14.400491,BA,Recruitement,evergreen temperate conifer,Low RDI,14
7.453517,BA,No recruitement,deciduous temperate broadleaved,Low RDI,14
9.8211775,BA,No recruitement,deciduous temperate broadleaved,high RDI,14
9.249116,BA,Recruitement,deciduous temperate broadleaved,Low RDI,14
0.03506612,DIAMETER,No recruitement,evergreen temperate conifer,Low RDI,14
0.035176508,DIAMETER,No recruitement,evergreen temperate conifer,high RDI,14
0.03517651,DIAMETER,Recruitement,evergreen temperate conifer,Low RDI,14
0.044129744,DIAMETER,No recruitement,deciduous temperate broadleaved,Low RDI,14
0.042022992,DIAMETER,No recruitement,deciduous temperate broadleaved,high RDI,14
0.0377493,DIAMETER,Recruitement,deciduous temperate broadleaved,Low RDI,14
1.4911809,IND,No recruitement,evergreen temperate conifer,Low RDI,14
1.4815736,IND,No recruitement,evergreen temperate conifer,high RDI,14
1.4815736,IND,Recruitement,evergreen temperate conifer,Low RDI,14
0.48674017,IND,No recruitement,deciduous temperate broadleaved,Low RDI,14
0.70735186,IND,No recruitement,deciduous temperate broadleaved,high RDI,14
0.82620925,IND,Recruitement,deciduous temperate broadleaved,Low RDI,14
0.45453557,RDI,No recruitement,evergreen temperate conifer,Low RDI,15
0.4540737,RDI,No recruitement,evergreen temperate conifer,high RDI,15
0.4548199,RDI,Recruitement,evergreen temperate conifer,Low RDI,15
0.5715383,RDI,No recruitement,deciduous temperate broadleaved,Low RDI,15
0.52443635,RDI,No recruitement,deciduous temperate broadleaved,high RDI,15
0.7480978,RDI,Recruitement,deciduous temperate broadleaved,Low RDI,15
15.158629,BA,No recruitement,evergreen temperate conifer,Low RDI,15
15.155784,BA,No recruitement,evergreen temperate conifer,high RDI,15
15.155785,BA,Recruitement,evergreen temperate conifer,Low RDI,15
8.279578,BA,No recruitement,deciduous temperate broadleaved,Low RDI,15
7.482045,BA,No recruitement,deciduous temperate broadleaved,high RDI,15
9.934062,BA,Recruitement,deciduous temperate broadleaved,Low RDI,15
0.035994925,DIAMETER,No recruitement,evergreen temperate conifer,Low RDI,15
0.036116283,DIAMETER,No recruitement,evergreen temperate conifer,high RDI,15
0.036104694,DIAMETER,Recruitement,evergreen temperate conifer,Low RDI,15
0.046536665,DIAMETER,No recruitement,deciduous temperate broadleaved,Low RDI,15
0.045118336,DIAMETER,No recruitement,deciduous temperate broadleaved,high RDI,15
0.039143037,DIAMETER,Recruitement,deciduous temperate broadleaved,Low RDI,15
1.4877487,IND,No recruitement,evergreen temperate conifer,Low RDI,15
1.4774868,IND,No recruitement,evergreen temperate conifer,high RDI,15
1.480155,IND,Recruitement,evergreen temperate conifer,Low RDI,15
0.4866328,IND,No recruitement,deciduous temperate broadleaved,Low RDI,15
0.46752438,IND,No recruitement,deciduous temperate broadleaved,high RDI,15
0.8246889,IND,Recruitement,deciduous temperate broadleaved,Low RDI,15
